pm2_5,month,weekday,hour,wind-east,wind-north,temperature,pressure,humidity,target
17.88,1,0,17,4.806308,1.378187,3.4,1004.1,96,28.1
27.35,1,0,18,2.648843,1.408415,3.4,1004.1,97,29.62
30.51,1,0,19,2.910887,0.725766,3.4,1004.2,98,31.35
13.83,1,0,20,4.829629,1.294095,3.2,1004.4,98,26.98
5.79,1,0,21,2.544144,1.589758,3.4,1003.8,98,23.39
4.81,1,0,22,2.045995,2.194061,3.6,1003.4,99,24.64
28.1,1,0,23,1.720729,2.457456,3.7,1003.2,99,25.16
29.62,1,1,0,1.22021,2.740636,3.6,1002.6,99,25.08
31.35,1,1,1,1.433472,3.734322,3.6,1002.4,99,24.1
26.98,1,1,2,1.562925,3.682019,3.7,1002.0,99,19.58
23.39,1,1,3,1.627841,4.727593,3.8,1001.3,99,17.77
24.64,1,1,4,2.630227,5.392764,4.0,1000.6,99,17.77
25.16,1,1,5,2.424048,4.373099,4.1,1000.4,98,18.08
25.08,1,1,6,2.033683,4.567727,4.2,1000.0,97,17.44
24.1,1,1,7,2.795965,4.145188,4.2,999.6,95,19.42
19.58,1,1,8,4.09199,4.388122,3.8,999.2,94,21.58
17.77,1,1,9,5.119476,4.773989,3.2,998.8,94,22.99
17.77,1,1,10,3.267834,5.032023,2.2,998.3,95,25.27
18.08,1,1,11,2.033683,4.567727,1.9,997.4,97,26.45
17.44,1,1,12,1.877886,3.53179,2.8,996.7,98,29.2
19.42,1,1,13,1.928363,2.298133,3.6,996.4,98,27.78
21.58,1,1,14,3.392192,2.119677,4.2,996.5,98,21.46
22.99,1,1,15,5.999086,-0.104714,4.5,996.6,97,17.5
25.27,1,1,16,7.727407,-2.070552,3.8,997.0,93,18.21
26.45,1,1,17,5.706339,-1.854102,3.0,997.2,94,17.62
29.2,1,1,18,6.0,0.0,2.5,997.5,95,17.89
27.78,1,1,19,4.999238,0.087262,1.9,997.8,95,19.75
21.46,1,1,20,4.999238,0.087262,1.7,998.0,96,20.64
17.5,1,1,21,6.0,0.0,1.7,998.1,95,27.28
18.21,1,1,22,5.0,0.0,0.9,998.2,96,29.36
17.62,1,1,23,4.999238,-0.087262,1.2,998.1,96,34.05
17.89,1,2,0,4.98782,-0.348782,0.9,998.2,96,31.3
19.75,1,2,1,3.978088,-0.418114,1.0,998.3,98,26.54
20.64,1,2,2,3.863703,-1.035276,1.1,998.6,98,14.54
27.28,1,2,3,1.462707,-1.363997,0.9,998.6,98,15.56
29.36,1,2,4,0.529919,-0.848048,1.1,998.8,99,12.69
34.05,1,2,5,0.551275,-1.922523,1.3,999.0,98,10.84
31.3,1,2,6,0.781462,-1.84101,1.3,999.3,97,13.46
26.54,1,2,7,0.749213,-1.854368,1.3,999.6,96,10.85
14.54,1,2,8,0.483844,-1.940591,1.5,1000.1,95,11.54
15.56,1,2,9,0.716736,-1.867161,1.7,1000.2,95,10.28
12.69,1,2,10,0.749213,-1.854368,2.0,1000.1,92,10.31
10.84,1,2,11,1.285575,-1.532089,2.1,999.9,89,12.31
13.46,1,2,12,1.84101,-0.781462,2.3,999.5,90,11.05
10.85,1,2,13,1.414214,-1.414214,2.3,999.4,89,12.48
11.54,1,2,14,1.963254,-0.381618,2.3,999.1,92,18.9
10.28,1,2,15,3.782074,-1.302273,2.3,999.1,93,17.21
10.31,1,2,16,2.995889,-0.157008,2.3,998.6,93,16.63
12.31,1,2,17,1.963254,0.381618,0.7,998.4,96,9.9
11.05,1,2,18,2.800741,1.075104,1.8,998.0,96,10.58
12.48,1,2,19,3.863703,1.035276,2.0,997.8,96,11.95
18.9,1,2,20,3.950753,0.625738,2.0,997.0,97,12.57
17.21,1,2,21,3.978088,0.418114,2.0,996.5,97,12.77
16.63,1,2,22,1.91261,0.584743,2.0,995.9,98,12.79
9.9,1,2,23,0.573576,-0.819152,2.4,995.6,98,13.2
10.58,1,3,0,0.517638,-1.931852,2.3,995.6,98,14.21
11.95,1,3,1,0.104672,-1.997259,1.7,995.6,95,15.58
12.57,1,3,2,0.520945,-2.954423,1.2,995.6,97,11.77
12.77,1,3,3,0.347296,-1.969616,1.2,995.4,97,9.91
12.79,1,3,4,0.243739,-1.985092,1.3,995.4,96,10.25
